Collection,Code,ProductVariation,ProductGroup,DesignVariation,Grade,Construction,Textures,Finishes,EdgeDetail,Species,Certification
CREATE,CR15SQ,Cortado Square,Cortado,Square   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CRAFTED TEXTURES,OASA012,Waresley Extra Wide Plank,Waresley,Extra Wide Plank ,Nature  ,2Ply Engineered,Coastal Weathered,Burnished Hardwax Oil Matt,Micro Bevel,European Oak,FSC® 100%
CRAFTED TEXTURES,CRAFT008,Attingham Extra Wide Plank,Attingham,Extra Wide Plank ,Nature  ,2Ply Engineered,Distressed,Burnished Hardwax Oil Matt,Distressed Edge,European Oak, UKTR Compliant
CRAFTED TEXTURES,CRAFT009,Attingham Narrow Herringbone,Attingham,Narrow Herringbone  ,Nature  ,2Ply Engineered,Distressed,Burnished Hardwax Oil Matt,Distressed Edge,European Oak, UKTR Compliant
CRAFTED TEXTURES,CRAFT010,Bembridge Extra Wide Plank,Bembridge,Extra Wide Plank ,Nature  ,2Ply Engineered,Distressed,Burnished Hardwax Oil Matt,Distressed Edge,European Oak, UKTR Compliant
CRAFTED TEXTURES,CRAFT011,Bembridge Narrow Herringbone,Bembridge,Narrow Herringbone  ,Nature  ,2Ply Engineered,Distressed,Burnished Hardwax Oil Matt,Distressed Edge,European Oak, UKTR Compliant
CRAFTED TEXTURES,CRAFT006,Netley Extra Wide Plank,Netley,Extra Wide Plank ,Nature  ,2Ply Engineered,Distressed,Burnished Hardwax Oil Matt,Distressed Edge,European Oak, UKTR Compliant
CRAFTED TEXTURES,CRAFT007,Netley Narrow Herringbone,Netley,Narrow Herringbone  ,Nature  ,2Ply Engineered,Distressed,Burnished Hardwax Oil Matt,Distressed Edge,European Oak, UKTR Compliant
CRAFTED TEXTURES,CRAFT014,Swinley Extra Wide Plank,Swinley,Extra Wide Plank ,Nature  ,2Ply Engineered,Distressed,Burnished Hardwax Oil Matt,Distressed Edge,European Oak, UKTR Compliant
CRAFTED TEXTURES,CRAFT015,Swinley Narrow Herringbone,Swinley,Narrow Herringbone  ,Nature  ,2Ply Engineered,Distressed,Burnished Hardwax Oil Matt,Distressed Edge,European Oak, UKTR Compliant
CRAFTED TEXTURES,OASA018,Carrick Extra Wide Plank,Carrick,Extra Wide Plank ,Nature  ,2Ply Engineered,Shadow Sawn,Burnished Hardwax Oil Matt,Micro Bevel,European Oak,FSC® 100%
CRAFTED TEXTURES,OASA020,Coombe Extra Wide Plank,Coombe,Extra Wide Plank ,Nature  ,2Ply Engineered,Shadow Sawn,Burnished Hardwax Oil Matt,Micro Bevel,European Oak,FSC® 100%
CRAFTED TEXTURES,OASA017,Holton Extra Wide Plank,Holton,Extra Wide Plank ,Nature  ,2Ply Engineered,Shadow Sawn,Burnished Hardwax Oil Matt,Micro Bevel,European Oak,FSC® 100%
CRAFTED TEXTURES,OASA019,Wiston Extra Wide Plank,Wiston,Extra Wide Plank ,Nature  ,2Ply Engineered,Shadow Sawn,Burnished Hardwax Oil Matt,Micro Bevel,European Oak,FSC® 100%
CRAFTED TEXTURES,OASA016,Salcey Extra Wide Plank,Salcey,Extra Wide Plank ,Nature  ,2Ply Engineered,Coastal Weathered,Burnished Hardwax Oil Super Matt,Micro Bevel,European Oak,FSC® 100%
CRAFTED TEXTURES,CRAFT002,Arundel Wide Plank,Arundel,Wide Plank  ,Rustic ,2Ply Engineered,Sawn,Hardened Oil,Distressed Edge,European Oak, UKTR Compliant
CRAFTED TEXTURES,CRAFT003,Arundel Narrow Herringbone,Arundel,Narrow Herringbone  ,Rustic ,2Ply Engineered,Sawn,Hardened Oil,Distressed Edge,European Oak, UKTR Compliant
CRAFTED TEXTURES,CRAFT004,Standen Wide Plank,Standen,Wide Plank  ,Rustic ,2Ply Engineered,Sawn,Hardened Oil,Distressed Edge,European Oak, UKTR Compliant
CRAFTED TEXTURES,CRAFT005,Standen Narrow Herringbone,Standen,Narrow Herringbone  ,Rustic ,2Ply Engineered,Sawn,Hardened Oil,Distressed Edge,European Oak, UKTR Compliant
CRAFTED TEXTURES,PROJ022,Haldon Wide Plank,Haldon,Wide Plank  ,Nature  ,3Layer Engineered,Coastal Weathered,Organic Oil Super Matt,Micro Bevel,American Walnut, UKTR Compliant
CRAFTED TEXTURES,CRAFT016,Dunham Wide Plank,Dunham,Wide Plank  ,Nature  ,2Ply Engineered,Sawn,Organic Oil Super Matt,Distressed Edge,European Oak, UKTR Compliant
CRAFTED TEXTURES,CRAFT017,Dunham Narrow Herringbone,Dunham,Narrow Herringbone ,Nature  ,2Ply Engineered,Sawn,Organic Oil Super Matt,Distressed Edge,European Oak, UKTR Compliant
CRAFTED TEXTURES,CRAFT018,Marbury Wide Plank,Marbury,Wide Plank  ,Nature  ,2Ply Engineered,Sawn,Organic Oil Super Matt,Distressed Edge,European Oak, UKTR Compliant
CRAFTED TEXTURES,CRAFT019,Marbury Narrow Herringbone,Marbury,Narrow Herringbone ,Nature  ,2Ply Engineered,Sawn,Organic Oil Super Matt,Distressed Edge,European Oak, UKTR Compliant
CRAFTED TEXTURES,CRAFT020,Sheringham Wide Plank,Sheringham,Wide Plank  ,Nature  ,2Ply Engineered,Sawn,Organic Oil Super Matt,Distressed Edge,European Oak, UKTR Compliant
CRAFTED TEXTURES,CRAFT021,Sheringham Narrow Herringbone,Sheringham,Narrow Herringbone ,Nature  ,2Ply Engineered,Sawn,Organic Oil Super Matt,Distressed Edge,European Oak, UKTR Compliant
CRAFTED TEXTURES,FOUND002,Amberley Plank,Amberley,Plank   ,Nature  ,2Ply Engineered,Sawn,Satin Lacquer,Micro Bevel,European Oak, UKTR Compliant
CLASSIC TONES ,CLASS002C,Kielder Plank,Kielder,Plank   ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
CLASSIC TONES,OA18SMKB/3,Bedgebury Plank,Bedgebury,Plank   ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
CLASSIC TONES,OA22SMKB/3,Bedgebury Extra Wide Plank,Bedgebury,Extra Wide Plank ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
CLASSIC TONES,OBL2CR49A,Chislehurst Narrow Herringbone ,Chislehurst,Narrow Herringbone ,Nature  ,2Ply Engineered,Brushed,Hardened Lacquer,Square Shoulder,European Oak,FSC® 100%
CLASSIC TONES,OBL2FU49A,Kearney Narrow Herringbone,Kearney,Narrow Herringbone ,Nature  ,2Ply Engineered,Brushed,Hardened Lacquer,Square Shoulder,European Oak,FSC® 100%
CLASSIC TONES,OBL2WH49A,Annesley Narrow Herringbone,Annesley,Narrow Herringbone ,Nature  ,2Ply Engineered,Smooth,Hardened Lacquer,Square Shoulder,European Oak,FSC® 100%
